channel	video_id	title
Noel Yee	XFN6yjrWaWk	NOELTECH#8: BRECKEN-IZE
Noel Yee	oFEdsemNJ2E	NOELTECH#7: Fan Folding with Corey
Noel Yee	cSLzJ8Ovwb0	Club Manipulation Ideas
Noel Yee	SphXcsPSSeU	Noel Yee IJA Tutorial Cross Arm 423
Noel Yee	1ySWFCmyYZ4	Spherecamp 09 Noel Hangar Routine
Noel Yee	0S88pJS3Co4	NOELTECH #6: Quarter-Whatever
Noel Yee	DPdWgY9izR8	NOELTECH #5:  G Plane Breaking
Noel Yee	LQQoSbO2O0w	NoelTech#4 Split Time Opposite Direction Hands
Noel Yee	b42KuRuWtpQ	NOELTECH #3 Together Time Opposite Direction
Noel Yee	WwF-kGQbxyY	NOELTECH #2: Split Same
Noel Yee	cMNlx0lLOVk	NOELTECH # 1: Together Time Same Direction
Noel Yee	deMKkJZ3qsc	Club Contact Now!!
Noel Yee	1lX9EOylFc4	3/4 vs Antispin Double Staff
Noel Yee	EquHcnDk2z0	Noel's Hoop Trick
Noel Yee	muji8rTelKo	Collaborative Explosion -CWR Session B 2008
Noel Yee	MtaA7aIrrxs	COL 2008
Noel Yee	OHMzp4RYt4U	Christmas at the Lawlors
Noel Yee	sLqLUwBNSpQ	Contact Poi Trick of the Week # 2
Noel Yee	3L-RrdjWHgw	Do you Remember the Time
Noel Yee	Ly93H49xCxA	Noel Contact Staff
Noel Yee	gdVfvmZuJl4	Basic Atom Stuff
Noel Yee	m8C8tAJuEBM	Arm Wrap-Contact Poi Trick of the Week
Noel Yee	dlQNXqOM4Ns	Loft Show episode #1: Noel Yee and Cassie McKenny!
Alien Jon	pIppROmdFaI	Multi-Loop Test
Alien Jon	kbVQlBgu1-U	For Dave Statik - rotation of 9 axis construct
Alien Jon	Ne7QuhjgUto	Poitruvian and vertical body tracing - poi workshop in Singapore
Alien Jon	qxLVMNNpz_M	Raliegh Poi series - class 1 - part 2 edit
Alien Jon	q5_lTejgVoc	Class Series: Foundations of Poi, Class 2   Raleigh NC
Alien Jon	nz3XNek4_cA	Class Series: Foundations of Poi, Class 4 Raleigh NC
Alien Jon	QquYSdMfnPw	Raliegh Poi series - class 1 - part 1 edit
Alien Jon	WNOnGnnh4Cc	Class Series: Foundations of Poi, Class 5 - Raleigh NC
Alien Jon	VEOBKDaEseU	Dragon / staff rolling - Minimal Steve - workshop in Singapore
Alien Jon	ROVOcjSK2Tg	Class Series: Foundations of Poi, Class 3   Raleigh NC
Alien Jon	Nyky_iJX7zk	Class Series: Foundations of Poi, Class 6 - Raleigh NC
Alien Jon	JcsB7kXV6nw	protect your knee wile whirling - wheight shifting practice
Alien Jon	0El9EUs2SOg	Class Series: Foundations of Poi, Class 1 - Raleigh NC
Alien Jon	SNdHZZKpHfg	zero twist inversions in wheel plane
Alien Jon	gMhG77-Mi6o	poi building blocks for inswings
Alien Jon	C8iMIzy9js8	Alien Jon introversions
Alien Jon	PaNZ1TG1bX4	Alien Jon Poi: Archers, Traces, and Snakes, oh my! A quick n dirty move sampler
Alien Jon	yvaXccJLSdM	Publika mall staff workshop notes, Kuala Lumpur, MYS
Alien Jon	GAa7Z_5gkSU	Some continuous forearm rolls for staff & dragon
Alien Jon	kUpwkfFUtK0	Class Notes: Partner Poi Passing & Stealing Raleigh, NC 3-07-2015
